"ICM_CITY_CD","ICM_CITY_DESC","ISM_STATE_CD","ISM_STATE_DESC"
"GIRIDIH","GIRIDIH","JHARKHAND","JHARKHAND"
"GANGTOK","GANGTOK","SIKKIM","SIKKIM"
"GURGAON","GURGAON","HARYANA","HARYANA"
"KALAHANDI","KALAHANDI","ODISHA","ODISHA"
"GANDHIDHAM","GANDHIDHAM","GUJARAT","GUJARAT"
"RISHRA","RISHRA","WEST BENGAL","WEST BENGAL"
"GANDHINAGAR","GANDHINAGAR","GUJARAT","GUJARAT"
"HINDAUN","HINDAUN","RAJASTHAN","RAJASTHAN"
"GOA","GOA","GOA","GOA"
"GODHRA","GODHRA","GUJARAT","GUJARAT"
"GONDAL","GONDAL","GUJARAT","GUJARAT"
"GOPIGANJ","GOPIGANJ","UTTAR PRADESH","UTTAR PRADESH"
"GORAKHPUR","GORAKHPUR","UTTAR PRADESH","UTTAR PRADESH"
"BANKA","BANKA","BIHAR","BIHAR"
"GUNTUR","GUNTUR","ANDHRA PRADESH","ANDHRA PRADESH"
"GURDASPUR","GURDASPUR","PUNJAB","PUNJAB"
"GWALIOR","GWALIOR","MADHYA PRADESH","MADHYA PRADESH"
"HATHRAS","HATHRAS","UTTAR PRADESH","UTTAR PRADESH"
"HAZARIBAGH","HAZARIBAGH","JHARKHAND","JHARKHAND"
"FATEHGARH SAHIB","FATEHGARH SAHIB","PUNJAB","PUNJAB"
"HALDIA","HALDIA","WEST BENGAL","WEST BENGAL"
"HALOL","HALOL","GUJARAT","GUJARAT"
"TALCHER","TALCHER","ODISHA","ODISHA"
"NASRIGANJ","NASRIGANJ","BIHAR","BIHAR"
"HOLALUR","HOLALUR","KARNATAKA","KARNATAKA"
"HOSHIARPUR","HOSHIARPUR","PUNJAB","PUNJAB"
"HOSPET","HOSPET","KARNATAKA","KARNATAKA"
"HAPUR","HAPUR","UTTAR PRADESH","UTTAR PRADESH"
"GINIGERA","GINIGERA","KARNATAKA","KARNATAKA"
"HASSAN","HASSAN","KARNATAKA","KARNATAKA"
"HISSAR","HISSAR","HARYANA","HARYANA"
"HALDWANI","HALDWANI","UTTARAKHAND","UTTARAKHAND"
"HYDERABAD","HYDERABAD","TELANGANA","TELANGANA"
"IRINJALAKUDA","IRINJALAKUDA","KERALA","KERALA"
"IMPHAL","IMPHAL","MANIPUR","MANIPUR"
"INDORE","INDORE","MADHYA PRADESH","MADHYA PRADESH"
"ITARSI","ITARSI","MADHYA PRADESH","MADHYA PRADESH"
"JAIPUR","JAIPUR","RAJASTHAN","RAJASTHAN"
"JAUNPUR","JAUNPUR","UTTAR PRADESH","UTTAR PRADESH"
"JABALPUR","JABALPUR","MADHYA PRADESH","MADHYA PRADESH"
"JALANDHAR","JALANDHAR","PUNJAB","PUNJAB"
"JAMMU","JAMMU","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"JHUNJHUNU","JHUNJHUNU","RAJASTHAN","RAJASTHAN"
"JORHAT","JORHAT","ASSAM","ASSAM"
"CHINCHWAD","CHINCHWAD","MAHARASHTRA","MAHARASHTRA"
"KUMBANAD","KUMBANAD","KERALA","KERALA"
"KALYAN","KALYAN","MAHARASHTRA","MAHARASHTRA"
"KANPUR","KANPUR","UTTAR PRADESH","UTTAR PRADESH"
"KAPURTHALA","KAPURTHALA","PUNJAB","PUNJAB"
"KAYAMKULAM","KAYAMKULAM","KERALA","KERALA"
"KANDLA","KANDLA","GUJARAT","GUJARAT"
"KANHANGAD","KANHANGAD","KERALA","KERALA"
"KHANDWA","KHANDWA","MADHYA PRADESH","MADHYA PRADESH"
"KHARAGPUR","KHARAGPUR","WEST BENGAL","WEST BENGAL"
"KHURJA","KHURJA","UTTAR PRADESH","UTTAR PRADESH"
"KOTTARAKKARA","KOTTARAKKARA","KERALA","KERALA"
"KANYA KUMARI","KANYA KUMARI","TAMILNADU","TAMILNADU"
"KUMBAKONAM","KUMBAKONAM","TAMILNADU","TAMILNADU"
"KAKINADA","KAKINADA","ANDHRA PRADESH","ANDHRA PRADESH"
"KURUKSHETRA","KURUKSHETRA","HARYANA","HARYANA"
"KULLU MANALI","KULLU MANALI","HIMACHAL PRADESH","HIMACHAL PRADESH"
"KOLHAPUR","KOLHAPUR","MAHARASHTRA","MAHARASHTRA"
"KOLAR","KOLAR","KARNATAKA","KARNATAKA"
"KOLENCHERRY","KOLENCHERRY","KERALA","KERALA"
"KAIRANA","KAIRANA","UTTAR PRADESH","UTTAR PRADESH"
"KONNI","KONNI","KERALA","KERALA"
"AMMOOR","AMMOOR","TAMILNADU","TAMILNADU"
"SATHYAMANGALAM","SATHYAMANGALAM","TAMILNADU","TAMILNADU"
"KODAD","KODAD","TELANGANA","TELANGANA"
"BARNAGAR","BARNAGAR","MADHYA PRADESH","MADHYA PRADESH"
"BARDHAMAN","BARDHAMAN","WEST BENGAL","WEST BENGAL"
"NATIPORA","NATIPORA","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"NAVAGAM","NAVAGAM","GUJARAT","GUJARAT"
"NEDUNURU","NEDUNURU","ANDHRA PRADESH","ANDHRA PRADESH"
"NETRANG","NETRANG","GUJARAT","GUJARAT"
"NEYYOOR","NEYYOOR","TAMILNADU","TAMILNADU"
"NILEKANI","NILEKANI","KARNATAKA","KARNATAKA"
"NIRAKARPUR","NIRAKARPUR","ODISHA","ODISHA"
"NITTE","NITTE","KARNATAKA","KARNATAKA"
"NIZAMSAGAR","NIZAMSAGAR","ANDHRA PRADESH","ANDHRA PRADESH"
"NOORSARAI","NOORSARAI","BIHAR","BIHAR"
"NOWROZABAD","NOWROZABAD","MADHYA PRADESH","MADHYA PRADESH"
"NUMALIGARH","NUMALIGARH","ASSAM","ASSAM"
"NUTAKKI","NUTAKKI","ANDHRA PRADESH","ANDHRA PRADESH"
"OLD GUNTAKAL","OLD GUNTAKAL","ANDHRA PRADESH","ANDHRA PRADESH"
"ONNUPURAM","ONNUPURAM","TAMILNADU","TAMILNADU"
"ORATHI","ORATHI","TAMILNADU","TAMILNADU"
"OTHARA","OTHARA","KERALA","KERALA"
"PACHORE","PACHORE","MADHYA PRADESH","MADHYA PRADESH"
"PADALAM","PADALAM","TAMILNADU","TAMILNADU"
"PADAMPUR","PADAMPUR","RAJASTHAN","RAJASTHAN"
"PADUBIDRI","PADUBIDRI","KARNATAKA","KARNATAKA"
"PALAJ","PALAJ","GUJARAT","GUJARAT"
"PALAKKAD CITY","PALAKKAD CITY","KERALA","KERALA"
"PALIVELA","PALIVELA","ANDHRA PRADESH","ANDHRA PRADESH"
"PALLAHARA","PALLAHARA","ODISHA","ODISHA"
"PALSHET","PALSHET","MAHARASHTRA","MAHARASHTRA"
"PANAGAL","PANAGAL","ANDHRA PRADESH","ANDHRA PRADESH"
"PANCHGRAM","PANCHGRAM","ASSAM","ASSAM"
"PANITOLA","PANITOLA","ASSAM","ASSAM"
"PANJWARA","PANJWARA","BIHAR","BIHAR"
"PANPARA","PANPARA","WEST BENGAL","WEST BENGAL"
"PANSAR","PANSAR","GUJARAT","GUJARAT"
"PARAL","PARAL","KERALA","KERALA"
"PARCHURU","PARCHURU","ANDHRA PRADESH","ANDHRA PRADESH"
"PARKALA","PARKALA","KARNATAKA","KARNATAKA"
"PARSA","PARSA","BIHAR","BIHAR"
"PARTAPUR BANSWARA","PARTAPUR BANSWARA","RAJASTHAN","RAJASTHAN"
"PATDI","PATDI","GUJARAT","GUJARAT"
"PATHSALA","PATHSALA","ASSAM","ASSAM"
"PAWAPURI","PAWAPURI","BIHAR","BIHAR"
"PAZHAVEEDU","PAZHAVEEDU","KERALA","KERALA"
"PENNAGARAM","PENNAGARAM","TAMILNADU","TAMILNADU"
"PENUMUR","PENUMUR","ANDHRA PRADESH","ANDHRA PRADESH"
"PERUNGALA","PERUNGALA","KERALA","KERALA"
"PIJ","PIJ","GUJARAT","GUJARAT"
"PIPPARA","PIPPARA","ANDHRA PRADESH","ANDHRA PRADESH"
"PIPRA BAZAR","PIPRA BAZAR","BIHAR","BIHAR"
"PIRAWA","PIRAWA","RAJASTHAN","RAJASTHAN"
"POCHAMPALLI","POCHAMPALLI","TAMILNADU","TAMILNADU"
"PONNIAM WEST","PONNIAM WEST","KERALA","KERALA"
"PONPARAPPI","PONPARAPPI","TAMILNADU","TAMILNADU"
"PRITHVIPUR","PRITHVIPUR","MADHYA PRADESH","MADHYA PRADESH"
"PULLA","PULLA","ANDHRA PRADESH","ANDHRA PRADESH"
"PULLIKANAKKU","PULLIKANAKKU","KERALA","KERALA"
"PUNJAB REGIMENTAL CENTRE","PUNJAB REGIMENTAL CENTRE","JHARKHAND","JHARKHAND"
"PUNUKOLLU","PUNUKOLLU","ANDHRA PRADESH","ANDHRA PRADESH"
"PUTLUR","PUTLUR","ANDHRA PRADESH","ANDHRA PRADESH"
"RADHU","RADHU","GUJARAT","GUJARAT"
"RAHAMA","RAHAMA","ODISHA","ODISHA"
"RAILMAGRA","RAILMAGRA","RAJASTHAN","RAJASTHAN"
"RAISUAN","RAISUAN","ODISHA","ODISHA"
"RAJAM","RAJAM","ANDHRA PRADESH","ANDHRA PRADESH"
"RAJDHANWAR","RAJDHANWAR","JHARKHAND","JHARKHAND"
"RAJKANIKA","RAJKANIKA","ODISHA","ODISHA"
"RALEGAON","RALEGAON","MAHARASHTRA","MAHARASHTRA"
"RAMADUGU","RAMADUGU","ANDHRA PRADESH","ANDHRA PRADESH"
"RAMAVARAM","RAMAVARAM","ANDHRA PRADESH","ANDHRA PRADESH"
"RAMBAGH","RAMBAGH","ODISHA","ODISHA"
"RAMKOLA","RAMKOLA","UTTAR PRADESH","UTTAR PRADESH"
"RAMOL","RAMOL","GUJARAT","GUJARAT"
"RAMPUR COLLIERY","RAMPUR COLLIERY","ODISHA","ODISHA"
"RAMPURA","RAMPURA","UTTAR PRADESH","UTTAR PRADESH"
"UMARIA","UMARIA","MADHYA PRADESH","MADHYA PRADESH"
"PATHANAPURAM","PATHANAPURAM","KERALA","KERALA"
"MORANHAT","MORANHAT","ASSAM","ASSAM"
"GINIGERE","GINIGERE","KARNATAKA","KARNATAKA"
"YERRAGUNTLA","YERRAGUNTLA","ANDHRA PRADESH","ANDHRA PRADESH"
"GINGEE","GINGEE","TAMILNADU","TAMILNADU"
"MANAVADAR","MANAVADAR","GUJARAT","GUJARAT"
"EAST SIANG","EAST SIANG","ARUNACHAL PRADESH","ARUNACHAL PRADESH"
"BHAWANI MANDI","BHAWANI MANDI","RAJASTHAN","RAJASTHAN"
"CHURACHANDPUR","CHURACHANDPUR","MANIPUR","MANIPUR"
"NALIBAR","NALIBAR","ODISHA","ODISHA"
"CHINSURAH","CHINSURAH","WEST BENGAL","WEST BENGAL"
"HAMIRPUR_HIM","HAMIRPUR","HIMACHAL PRADESH","HIMACHAL PRADESH"
"TIRUCHIRAPPALLI","TIRUCHIRAPPALLI","TAMILNADU","TAMILNADU"
"LAKHIMPUR_ASS","LAKHIMPUR","ASSAM","ASSAM"
"PORT BLAIR_AND","PORT BLAIR","ANDAMAN AND NICOBAR","ANDAMAN AND NICOBAR"
"EAST GARO HILLS","EAST GARO HILLS","MEGHALAYA","MEGHALAYA"
"CHANDEL","CHANDEL","MANIPUR","MANIPUR"
"GANGOH","GANGOH","UTTAR PRADESH","UTTAR PRADESH"
"DEESA","DEESA","GUJARAT","GUJARAT"
"BISSAU","BISSAU","RAJASTHAN","RAJASTHAN"
"PARRA","PARRA","GOA","GOA"
"PONDA","PONDA","GOA","GOA"
"TALEIGAO","TALEIGAO","GOA","GOA"
"SITAPUR","SITAPUR","UTTAR PRADESH","UTTAR PRADESH"
"BHILAD","BHILAD","GUJARAT","GUJARAT"
"COCHIN","COCHIN","KERALA","KERALA"
"RANGIA","RANGIA","ASSAM","ASSAM"
"MELPATTAMPAKKAM","MELPATTAMPAKKAM","TAMILNADU","TAMILNADU"
"HAJIARPALLI","HAJIARPALLI","KERALA","KERALA"
"KAMARAJ","KAMARAJ","TAMILNADU","TAMILNADU"
"BRAHMAVAR","BRAHMAVAR","KARNATAKA","KARNATAKA"
"KUARMUNDA","KUARMUNDA","ODISHA","ODISHA"
"RUPRA ROAD","RUPRA ROAD","ODISHA","ODISHA"
"SAMPLA","SAMPLA","HARYANA","HARYANA"
"PUDUKKOTTAI","PUDUKKOTTAI","TAMILNADU","TAMILNADU"
"BHOPAL","BHOPAL","MADHYA PRADESH","MADHYA PRADESH"
"BARODA","BARODA","GUJARAT","GUJARAT"
"HORATATNAL","HORATATNAL","KARNATAKA","KARNATAKA"
"BERHAMPUR","BERHAMPUR","ODISHA","ODISHA"
"BHATINDA","BHATINDA","PUNJAB","PUNJAB"
"BHUJ","BHUJ","GUJARAT","GUJARAT"
"BURDWAN","BURDWAN","WEST BENGAL","WEST BENGAL"
"BURNPUR","BURNPUR","WEST BENGAL","WEST BENGAL"
"BHAVNAGAR","BHAVNAGAR","GUJARAT","GUJARAT"
"BHIWADI","BHIWADI","RAJASTHAN","RAJASTHAN"
"BHIWANI","BHIWANI","HARYANA","HARYANA"
"BEYPORE","BEYPORE","KERALA","KERALA"
"CALCUTTA","CALCUTTA","WEST BENGAL","WEST BENGAL"
"CANNANORE","CANNANORE","KERALA","KERALA"
"COIMBATORE","COIMBATORE","TAMILNADU","TAMILNADU"
"BARAN","BARAN","RAJASTHAN","RAJASTHAN"
"KOCHI","KOCHI","KERALA","KERALA"
"VIJAYANAGAR","VIJAYANAGAR","ANDHRA PRADESH","ANDHRA PRADESH"
"CALICUT","CALICUT","KERALA","KERALA"
"CUDDAPPAH","CUDDAPPAH","ANDHRA PRADESH","ANDHRA PRADESH"
"CHANDIGARH","CHANDIGARH","PUNJAB","PUNJAB"
"CHARKHI DADRI","CHARKHI DADRI","HARYANA","HARYANA"
"PADRAUNA","PADRAUNA","UTTAR PRADESH","UTTAR PRADESH"
"SERILINGAMPALLY","SERILINGAMPALLY","ANDHRA PRADESH","ANDHRA PRADESH"
"CHURU","CHURU","RAJASTHAN","RAJASTHAN"
"CHANGANACHERRY","CHANGANACHERRY","KERALA","KERALA"
"CHILAKALURIPETA","CHILAKALURIPETA","ANDHRA PRADESH","ANDHRA PRADESH"
"COONOOR","COONOOR","TAMILNADU","TAMILNADU"
"KHAMBHAT","KHAMBHAT","GUJARAT","GUJARAT"
"UPLETA","UPLETA","GUJARAT","GUJARAT"
"CHANDRAPUR","CHANDRAPUR","MAHARASHTRA","MAHARASHTRA"
"KARKALA","KARKALA","KARNATAKA","KARNATAKA"
"CUTTACK","CUTTACK","ODISHA","ODISHA"
"CHAVARA","CHAVARA","KERALA","KERALA"
"NALANDA","NALANDA","BIHAR","BIHAR"
"MOTIHARI","MOTIHARI","BIHAR","BIHAR"
"CHAPRA","CHAPRA","BIHAR","BIHAR"
"VAISHALI","VAISHALI","BIHAR","BIHAR"
"NADIA","NADIA","WEST BENGAL","WEST BENGAL"
"SRIMANGALA","SRIMANGALA","KARNATAKA","KARNATAKA"
"DIBRUGARH","DIBRUGARH","ASSAM","ASSAM"
"DAVANGERE","DAVANGERE","KARNATAKA","KARNATAKA"
"DHARAMSHALA","DHARAMSHALA","HIMACHAL PRADESH","HIMACHAL PRADESH"
"DODA","DODA","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"DURGAPUR","DURGAPUR","WEST BENGAL","WEST BENGAL"
"DEORIA","DEORIA","UTTAR PRADESH","UTTAR PRADESH"
"DEROL","DEROL","GUJARAT","GUJARAT"
"DEOLALI","DEOLALI","MAHARASHTRA","MAHARASHTRA"
"DEWAS","DEWAS","MADHYA PRADESH","MADHYA PRADESH"
"ERODE","ERODE","TAMILNADU","TAMILNADU"
"ETAH","ETAH","UTTAR PRADESH","UTTAR PRADESH"
"FARIDKOT","FARIDKOT","PUNJAB","PUNJAB"
"FAIZABAD","FAIZABAD","UTTAR PRADESH","UTTAR PRADESH"
"FARIDABAD","FARIDABAD","HARYANA","HARYANA"
"FIROZPUR","FIROZPUR","PUNJAB","PUNJAB"
"GHAZIABAD","GHAZIABAD","UTTAR PRADESH","UTTAR PRADESH"
"GUA","GUA","JHARKHAND","JHARKHAND"
"FAZILKA","FAZILKA","PUNJAB","PUNJAB"
"NARMADANAGAR","NARMADANAGAR","GUJARAT","GUJARAT"
"GHATKESAR","GHATKESAR","ANDHRA PRADESH","ANDHRA PRADESH"
"SONARI","SONARI","ASSAM","ASSAM"
"NARGUND","NARGUND","KARNATAKA","KARNATAKA"
"KUKANOOR","KUKANOOR","KARNATAKA","KARNATAKA"
"PANRUTI","PANRUTI","TAMILNADU","TAMILNADU"
"SANT RAVIDAS NAGAR","SANT RAVIDAS NAGAR","UTTAR PRADESH","UTTAR PRADESH"
"RANALA","RANALA","MAHARASHTRA","MAHARASHTRA"
"RANDIAHAT","RANDIAHAT","ODISHA","ODISHA"
"RANITAL","RANITAL","ODISHA","ODISHA"
"RAPUR","RAPUR","ANDHRA PRADESH","ANDHRA PRADESH"
"RASULPUR","RASULPUR","ODISHA","ODISHA"
"RAYALAM","RAYALAM","ANDHRA PRADESH","ANDHRA PRADESH"
"REAMAL","REAMAL","ODISHA","ODISHA"
"REDI","REDI","MAHARASHTRA","MAHARASHTRA"
"REHAN","REHAN","HIMACHAL PRADESH","HIMACHAL PRADESH"
"REMUNDA","REMUNDA","ODISHA","ODISHA"
"RISIA","RISIA","UTTAR PRADESH","UTTAR PRADESH"
"RISOD","RISOD","MAHARASHTRA","MAHARASHTRA"
"ROHINI","ROHINI","JHARKHAND","JHARKHAND"
"SAHPAU","SAHPAU","UTTAR PRADESH","UTTAR PRADESH"
"SAILU","SAILU","MAHARASHTRA","MAHARASHTRA"
"SAKOLI","SAKOLI","MAHARASHTRA","MAHARASHTRA"
"SAKTI","SAKTI","CHHATTISGARH","CHHATTISGARH"
"SAMANASA","SAMANASA","ANDHRA PRADESH","ANDHRA PRADESH"
"SAMDARI","SAMDARI","RAJASTHAN","RAJASTHAN"
"SANCHORE","SANCHORE","RAJASTHAN","RAJASTHAN"
"SANDESH","SANDESH","BIHAR","BIHAR"
"SANKERKO","SANKERKO","ODISHA","ODISHA"
"SANKHACHILLA","SANKHACHILLA","ODISHA","ODISHA"
"SAPROON","SAPROON","HIMACHAL PRADESH","HIMACHAL PRADESH"
"SARANKUL","SARANKUL","ODISHA","ODISHA"
"SARAPAKA","SARAPAKA","TELANGANA","TELANGANA"
"SARSA","SARSA","GUJARAT","GUJARAT"
"SAUSAR","SAUSAR","MADHYA PRADESH","MADHYA PRADESH"
"SAVAKATTUPALAYAM","SAVAKATTUPALAYAM","TAMILNADU","TAMILNADU"
"SAYAL","SAYAL","JHARKHAND","JHARKHAND"
"SAYLA","SAYLA","GUJARAT","GUJARAT"
"SEHARA","SEHARA","WEST BENGAL","WEST BENGAL"
"SEMBANARKOIL","SEMBANARKOIL","TAMILNADU","TAMILNADU"
"SEMRI HARCHAND","SEMRI HARCHAND","MADHYA PRADESH","MADHYA PRADESH"
"SENTHI","SENTHI","RAJASTHAN","RAJASTHAN"
"SERAGADA","SERAGADA","ODISHA","ODISHA"
"SHIGGAON","SHIGGAON","KARNATAKA","KARNATAKA"
"SHIRODA_MAH","SHIRODA","MAHARASHTRA","MAHARASHTRA"
"SHIRVAL","SHIRVAL","MAHARASHTRA","MAHARASHTRA"
"SIDHAUL","SIDHAUL","UTTAR PRADESH","UTTAR PRADESH"
"SIMALUGURI","SIMALUGURI","ASSAM","ASSAM"
"SIMALWARA","SIMALWARA","RAJASTHAN","RAJASTHAN"
"SINDOLA MINES","SINDOLA MINES","MAHARASHTRA","MAHARASHTRA"
"SINGALANDAPURAM","SINGALANDAPURAM","TAMILNADU","TAMILNADU"
"SINGAPERUMAL KOIL","SINGAPERUMAL KOIL","TAMILNADU","TAMILNADU"
"SINGERKONE","SINGERKONE","WEST BENGAL","WEST BENGAL"
"SINGHANA","SINGHANA","RAJASTHAN","RAJASTHAN"
"SINHUJ","SINHUJ","GUJARAT","GUJARAT"
"SODAM","SODAM","ANDHRA PRADESH","ANDHRA PRADESH"
"SONWANI","SONWANI","UTTAR PRADESH","UTTAR PRADESH"
"SUBATHU","SUBATHU","HIMACHAL PRADESH","HIMACHAL PRADESH"
"SUJANPUR","SUJANPUR","ODISHA","ODISHA"
"SUKHPAR","SUKHPAR","GUJARAT","GUJARAT"
"SUNAV","SUNAV","GUJARAT","GUJARAT"
"SUPEDI","SUPEDI","GUJARAT","GUJARAT"
"SURAJGARHA","SURAJGARHA","BIHAR","BIHAR"
"T NARASAPURAM","T NARASAPURAM","ANDHRA PRADESH","ANDHRA PRADESH"
"TALCHER THERMAL","TALCHER THERMAL","ODISHA","ODISHA"
"TANGLA","TANGLA","ASSAM","ASSAM"
"TAPRI","TAPRI","HIMACHAL PRADESH","HIMACHAL PRADESH"
"TARAIYA","TARAIYA","BIHAR","BIHAR"
"TARAPUR_BIH","TARAPUR","BIHAR","BIHAR"
"TEEGAON","TEEGAON","MADHYA PRADESH","MADHYA PRADESH"
"TEHSIL FATEHPUR","TEHSIL FATEHPUR","UTTAR PRADESH","UTTAR PRADESH"
"TENGAKHAT","TENGAKHAT","ASSAM","ASSAM"
"TENSA","TENSA","ODISHA","ODISHA"
"THAKARDA","THAKARDA","RAJASTHAN","RAJASTHAN"
"THALLY","THALLY","TAMILNADU","TAMILNADU"
"GREATER NOIDA","GREATER NOIDA","UTTAR PRADESH","UTTAR PRADESH"
"YAVATMAL","YAVATMAL","MAHARASHTRA","MAHARASHTRA"
